,state,county,area_sqmi,epl_pov,epl_unemp,epl_pci,epl_nohsdp,spl_theme1,rpl_theme1,epl_age65,epl_age17,epl_disabl,epl_sngpnt,spl_theme2,rpl_theme2,epl_minrty,epl_limeng,spl_theme3,rpl_theme3,epl_munit,epl_mobile,epl_crowd,epl_noveh,epl_groupq,spl_theme4,rpl_theme4,spl_themes,rpl_themes,f_pov,f_unemp,f_pci,f_nohsdp,f_theme1,f_age65,f_age17,f_disabl,f_sngpnt,f_theme2,f_minrty,f_limeng,f_theme3,f_munit,f_mobile,f_crowd,f_noveh,f_groupq,f_theme4,f_total
17,ALABAMA,Conecuh,850.1996364,0.8567,0.9637,0.9682,0.8211,3.6097,0.9529,0.8004,0.3419,0.9255,0.8462,2.914,0.9713,0.8787,0.0,0.8787,0.4397,0.0844,0.9242,0.1888,0.6565,0.0341,1.888,0.213,9.2904,0.8086,0,1,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,4
18,ALABAMA,Coosa,650.9103714,0.443,0.5481,0.7354,0.8612,2.5877,0.693,0.8093,0.0538,0.9195,0.0853,1.8679,0.3836,0.7415,0.297,1.0385,0.5314,0.0388,0.9373,0.1223,0.2697,0.7262,2.0943,0.2913,7.5884,0.5261,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2
19,ALABAMA,Covington,1030.5560529,0.7178,0.8803,0.7264,0.7459,3.0704,0.8232,0.7249,0.4323,0.859,0.6399,2.6561,0.908,0.5084,0.297,0.8054,0.3941,0.2416,0.8185,0.5498,0.4082,0.4448,2.4629,0.4702,8.9948,0.7723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ALABAMA,Crenshaw,608.8646296,0.5602,0.5481,0.7099,0.8924,2.7106,0.7271,0.5215,0.5151,0.8679,0.6234,2.5279,0.8596,0.6816,0.631,1.3126,0.6979,0.0691,0.907,0.1223,0.6323,0.2184,1.9491,0.2353,8.5002,0.6873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
21,ALABAMA,Cullman,734.7802988,0.5675,0.5006,0.7338,0.7829,2.5848,0.6895,0.4893,0.5304,0.6746,0.2537,1.948,0.4444,0.2716,0.4187,0.6903,0.3305,0.4448,0.8443,0.4457,0.242,0.3457,2.3225,0.3945,7.5456,0.5182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ALABAMA,Dale,561.1006284,0.7236,0.885,0.6758,0.6129,2.8973,0.779,0.2983,0.6406,0.8781,0.5053,2.3223,0.7463,0.7017,0.5791,1.2808,0.6772,0.2216,0.737,0.4056,0.4677,0.6059,2.4378,0.455,8.9382,0.7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,ALABAMA,Dallas,978.737527,0.9761,0.9672,0.9363,0.8255,3.7051,0.9669,0.3664,0.774,0.6896,0.9647,2.7947,0.9478,0.9717,0.0707,1.0424,0.5345,0.2798,0.7937,0.7803,0.9745,0.3457,3.174,0.8392,10.7162,0.949,1,1,1,0,3,0,0,0,1,1,1,0,1,0,0,0,1,0,1,6
24,ALABAMA,DeKalb,777.0984139,0.8541,0.3299,0.8576,0.9608,3.0024,0.8035,0.32,0.7927,0.5005,0.6972,2.3104,0.7354,0.5536,0.8685,1.4221,0.7625,0.1958,0.8606,0.7434,0.4225,0.2582,2.4805,0.4779,9.2154,0.8022,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,ALABAMA,Elmore,618.4462511,0.3309,0.6207,0.4086,0.5829,1.9431,0.4911,0.1786,0.5151,0.6982,0.6702,2.0621,0.5422,0.6536,0.4642,1.1178,0.581,0.4575,0.653,0.2964,0.32,0.8262,2.5531,0.5177,7.6761,0.5401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,ALABAMA,Escambia,945.2221437,0.8984,0.9787,0.9545,0.7924,3.624,0.9557,0.419,0.4906,0.7638,0.5597,2.2331,0.6819,0.7994,0.3582,1.1576,0.6027,0.1754,0.7186,0.518,0.3572,0.8902,2.6594,0.5839,9.6741,0.8557,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
